filename,color_type
test1.jpg,spring
test2.jpg,autumn
test3.jpg,winter
test4.jpg,winter
test5.jpg,autumn
test6.jpg,summer
test7.jpg,autumn
test8.jpg,autumn
test9.jpg,spring
test10.jpg,autumn
test11.jpg,summer
test12.jpeg,autumn
test13.jpeg,autumn
test14.jpeg,autumn
test15.jpeg,autumn
test16.jpeg,autumn
test17.jpeg,autumn
test18.jpeg,autumn
test19.jpeg,autumn
test20.jpeg,winter
test21.jpeg,autumn
test22.jpeg,summer
test23.jpeg,autumn
test24.jpeg,spring
test25.jpeg,summer
test26.jpeg,spring
test27.jpeg,autumn
test28.jpeg,spring
test29.jpeg,autumn
test30.jpeg,spring
test31.jpeg,winter
test32.jpeg,autumn
test33.jpeg,autumn
test34.jpeg,summer
test35.jpeg,summer
test36.jpeg,autumn
test37.jpeg,summer
test38.jpeg,winter
test39.jpeg,summer
test40.jpeg,spring
test41.jpeg,autumn
test42.jpeg,summer
test43.jpeg,autumn
test44.jpeg,autumn
test45.jpeg,summer
test46.jpeg,spring
test47.jpeg,winter
test48.jpeg,summer
test49.jpeg,winter
test50.jpeg,winter
test51.jpeg,autumn
test52.jpeg,spring
test53.jpeg,autumn
test54.jpeg,winter
test55.jpeg,spring
test56.jpeg,spring
test57.jpeg,spring
test58.jpeg,autumn
test59.jpeg,summer
test60.jpeg,spring
test61.jpeg,autumn
test62.jpeg,autumn
test63.jpeg,spring
test64.jpeg,autumn
test65.jpeg,spring
test66.jpeg,spring
test67.jpeg,autumn
test68.jpeg,autumn
test69.jpeg,spring
test70.jpeg,summer
test71.jpeg,summer
test72.jpeg,winter
test73.jpeg,summer
test74.jpeg,spring
test75.jpeg,summer
test76.jpeg,summer
test77.jpeg,spring
test78.jpeg,spring
test79.jpeg,summer
test80.jpeg,spring
test81.jpeg,spring
test82.jpeg,spring
test83.jpeg,spring
test84.jpeg,spring
test85.jpeg,spring
test86.jpeg,summer
test87.jpeg,summer
